epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4813,1.23952,2.59117,1.41495,0.86954,0.09398,0.37979,0.23971,1.0117,2.89249,1.29059,0.000657277,0.000657277,0.000657277
2,18.0014,1.141,1.92555,1.33076,0.78555,0.53521,0.6514,0.48671,1.16813,1.77201,1.65934,0.00129773,0.00129773,0.00129773
3,25.1749,1.20281,1.81368,1.38481,0.69603,0.59859,0.60616,0.46825,1.3284,3.77579,1.65982,0.00191178,0.00191178,0.00191178
4,32.3541,1.09957,1.59257,1.30259,0.67867,0.61972,0.61051,0.44582,1.21635,2.21031,1.50174,0.0018812,0.0018812,0.0018812
5,39.4385,1.18777,1.60927,1.38938,0.86548,0.54373,0.60757,0.47263,1.17417,1.78837,1.43516,0.0018416,0.0018416,0.0018416
6,46.5922,1.07499,1.3678,1.31857,0.75858,0.76761,0.77236,0.61119,0.95716,1.27958,1.22496,0.001802,0.001802,0.001802
7,53.5896,1.08353,1.33226,1.31223,0.75397,0.66901,0.68318,0.51682,1.18703,1.38294,1.50204,0.0017624,0.0017624,0.0017624
8,60.5928,1.02234,1.24067,1.27526,0.81071,0.76761,0.77962,0.63119,0.93067,1.0405,1.23499,0.0017228,0.0017228,0.0017228
9,67.7561,0.98017,1.1244,1.23347,0.87166,0.77465,0.81003,0.60796,0.89787,1.46646,1.22671,0.0016832,0.0016832,0.0016832
10,74.6457,1.00725,1.11132,1.2651,0.81476,0.75352,0.7772,0.61667,0.9315,1.03222,1.2608,0.0016436,0.0016436,0.0016436
11,81.9067,0.97988,1.10646,1.25528,0.88282,0.76761,0.84095,0.67164,0.84604,0.97127,1.19238,0.001604,0.001604,0.001604
12,89.0821,0.87859,0.98826,1.17975,0.84894,0.83803,0.83718,0.67397,0.85803,0.86859,1.17607,0.0015644,0.0015644,0.0015644
13,96.0691,0.8665,0.933,1.18108,0.89482,0.77891,0.81946,0.65156,0.8595,1.04015,1.19491,0.0015248,0.0015248,0.0015248
14,103.244,0.90647,0.99012,1.20324,0.85481,0.82923,0.85291,0.68977,0.80776,0.82076,1.18798,0.0014852,0.0014852,0.0014852
15,110.287,0.91547,0.96864,1.22455,0.84566,0.82394,0.89107,0.7052,0.77883,0.76236,1.1776,0.0014456,0.0014456,0.0014456
16,117.353,0.83588,0.8639,1.17502,0.86792,0.83296,0.86911,0.7012,0.82898,0.77656,1.16502,0.001406,0.001406,0.001406
17,124.449,0.87532,0.88055,1.20058,0.89117,0.82394,0.85937,0.69801,0.81542,0.81862,1.21501,0.0013664,0.0013664,0.0013664
18,131.738,0.8709,0.86627,1.19024,0.80195,0.83099,0.85267,0.70207,0.77544,0.75623,1.14984,0.0013268,0.0013268,0.0013268
19,138.745,0.83388,0.84014,1.15029,0.84885,0.83056,0.86185,0.71028,0.78754,0.75604,1.14737,0.0012872,0.0012872,0.0012872
20,145.901,0.79371,0.80788,1.14406,0.93584,0.82175,0.91458,0.74446,0.73489,0.67725,1.13064,0.0012476,0.0012476,0.0012476
21,153.071,0.75891,0.76067,1.11612,0.94371,0.85915,0.91425,0.76005,0.7101,0.59831,1.08945,0.001208,0.001208,0.001208
22,160.379,0.76735,0.7483,1.11542,0.8728,0.83803,0.88393,0.73775,0.72885,0.67744,1.09921,0.0011684,0.0011684,0.0011684
23,167.499,0.75511,0.73552,1.1121,0.93532,0.8147,0.90322,0.75719,0.68737,0.61811,1.07837,0.0011288,0.0011288,0.0011288
24,174.638,0.76704,0.73566,1.11493,0.9155,0.83932,0.91574,0.74765,0.71688,0.63026,1.08433,0.0010892,0.0010892,0.0010892
25,181.73,0.7277,0.69413,1.0881,0.9075,0.88732,0.92388,0.77222,0.70046,0.61887,1.08288,0.0010496,0.0010496,0.0010496
26,189.05,0.72199,0.68237,1.0863,0.94392,0.8662,0.91984,0.76369,0.68799,0.5988,1.09726,0.00101,0.00101,0.00101
27,196.5,0.71348,0.66619,1.0847,0.91403,0.89854,0.95406,0.80384,0.6429,0.51461,1.05895,0.0009704,0.0009704,0.0009704
28,203.72,0.65194,0.59958,1.04492,0.94103,0.88732,0.94989,0.77923,0.64803,0.53379,1.05152,0.0009308,0.0009308,0.0009308
29,210.938,0.7186,0.67878,1.09936,0.89961,0.90845,0.96939,0.80798,0.62487,0.49365,1.05147,0.0008912,0.0008912,0.0008912
30,217.951,0.70722,0.65134,1.07321,0.95456,0.88028,0.97187,0.81523,0.62426,0.48751,1.04719,0.0008516,0.0008516,0.0008516
31,225.259,0.64386,0.60902,1.05023,0.96193,0.8662,0.96358,0.81683,0.60838,0.50657,1.0291,0.000812,0.000812,0.000812
32,232.296,0.65661,0.61051,1.05071,0.96871,0.87208,0.96913,0.81706,0.58727,0.47805,1.01725,0.0007724,0.0007724,0.0007724
33,239.334,0.67798,0.61503,1.06181,0.92142,0.90836,0.96803,0.81172,0.61705,0.50029,1.03972,0.0007328,0.0007328,0.0007328
34,246.353,0.6487,0.57919,1.04987,0.96131,0.90141,0.97443,0.81734,0.59742,0.46305,1.00689,0.0006932,0.0006932,0.0006932
35,253.479,0.65956,0.62091,1.06437,0.94518,0.87324,0.96386,0.81926,0.58616,0.47712,1.01566,0.0006536,0.0006536,0.0006536
36,260.604,0.61776,0.55294,1.03237,0.97635,0.87209,0.97334,0.82476,0.55295,0.43232,0.97314,0.000614,0.000614,0.000614
37,267.583,0.62522,0.57179,1.03333,0.97474,0.88028,0.969,0.83447,0.5856,0.43636,1.00482,0.0005744,0.0005744,0.0005744
38,274.714,0.61156,0.55685,1.01617,0.89423,0.93662,0.97578,0.83431,0.56808,0.43547,0.9991,0.0005348,0.0005348,0.0005348
39,281.859,0.6197,0.55819,1.02898,0.9239,0.94044,0.97544,0.84276,0.55043,0.44526,0.97119,0.0004952,0.0004952,0.0004952
40,288.979,0.62215,0.53656,1.04229,0.94547,0.95775,0.98296,0.84654,0.54038,0.43374,0.96332,0.0004556,0.0004556,0.0004556
41,329.98,0.56226,0.48689,1.01648,0.98032,0.88732,0.97133,0.85956,0.53176,0.43353,0.96449,0.000416,0.000416,0.000416
42,337.261,0.55518,0.45672,1.01252,0.95053,0.88732,0.97119,0.8386,0.5575,0.46723,0.98609,0.0003764,0.0003764,0.0003764
43,344.27,0.55751,0.44743,0.99788,0.93583,0.9507,0.98071,0.86124,0.5275,0.40267,0.96955,0.0003368,0.0003368,0.0003368
44,351.269,0.51794,0.44913,0.984,0.93422,0.9507,0.97736,0.86634,0.50043,0.4116,0.94417,0.0002972,0.0002972,0.0002972
45,358.232,0.50202,0.41242,0.96361,0.98045,0.93662,0.98571,0.87742,0.47431,0.38316,0.92825,0.0002576,0.0002576,0.0002576
46,365.299,0.49109,0.41647,0.96288,0.96095,0.9507,0.98254,0.88452,0.49634,0.37459,0.95159,0.000218,0.000218,0.000218
47,372.594,0.48246,0.4046,0.94874,0.94441,0.95706,0.9817,0.87941,0.46954,0.37427,0.92166,0.0001784,0.0001784,0.0001784
48,379.566,0.48114,0.40202,0.95159,0.91915,0.96075,0.9802,0.88279,0.46781,0.38397,0.92064,0.0001388,0.0001388,0.0001388
49,386.837,0.47051,0.38495,0.94772,0.95235,0.9507,0.98194,0.88118,0.45725,0.37021,0.9118,9.92e-05,9.92e-05,9.92e-05
50,393.761,0.45435,0.37038,0.9316,0.98495,0.92199,0.98468,0.89095,0.45555,0.35206,0.9175,5.96e-05,5.96e-05,5.96e-05
